,coconut_id,SMILES,molecular_formula,molecular_weight,citationDOI,name,alogp,topoPSA,affinity
430,CNP0118844,O=CC12CCC(OC3OC(C)C(O)C(O)C3O)CC2CCC4C1CC(O)C5(C)C(C6=CC(=O)OC6)CCC45O,C29H42O10,550.638901943229,[],Antiaroside P,0.5834999999999964,162.98,18.748905
249,CNP0259295,O=C(C=C(CO)C(CC)CCO)CCC1=CC=C(O)C(OC)=C1,C18H26O5,322.3967303795015,[],6-ethyl-8-hydroxy-1-(4-hydroxy-3-methoxyphenyl)-5-(hydroxymethyl)oct-4-en-3-one,1.233500000000001,86.99000000000001,18.715443
550,CNP0269848,OC1CCC2C(O)(CCC3C2(C)CCC4(C)C(CCC34C)C(C)CCC=C(C)C)C1(C)C,C30H52O2,444.7338059577197,[],"3a,6,6,9b,11a-pentamethyl-1-(6-methylhept-5-en-2-yl)-hexadecahydro-1H-cyclopenta[a]phenanthrene-5a,7-diol",7.161599999999996,40.46,18.68116
20,CNP0187019,O=C(OC1OC(CO)C(O)C(O)C1O)CCC(C)C2CCC3C4CCC5CC(O)CCC5(C)C4CC(O)C23C,C30H50O9,554.7137589430539,[],"3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl 4-{7,11-dihydroxy-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-1-yl}pentanoate",2.152399999999993,156.91,18.643934
71,CNP0063169,O=C1C=C(OC=2C=C3OC(C)(CCC4=CC=C(N)C(=C4)CCOC)C(O)CC3=C(O)C12)C(O)CC,C27H33NO7,483.5544517895488,[],"8-{2-[4-amino-3-(2-methoxyethyl)phenyl]ethyl}-5,7-dihydroxy-2-(1-hydroxypropyl)-8-methyl-4H,6H,7H,8H-pyrano[3,2-g]chromen-4-one",0.2959999999999971,131.47,18.630426
308,CNP0365268,O=C(NC1=CC=C(C=C1)CC(C)C)C(C2=CC=C(C=C2)CC(C)C)C,C23H31NO,337.4991971293288,[],"N,2-bis[4-(2-methylpropyl)phenyl]propanamide",5.1445,29.1,18.629158
254,CNP0277843,O=C(O)C(NC(=O)CC1=CNC=2C=CC=CC21)CC3=CNC=4C=CC=CC43,C21H19N3O3,361.3946525590541,[4604444.0],3-(1H-indol-3-yl)-2-[2-(1H-indol-3-yl)acetamido]propanoic acid,-0.4890000000000006,90.46,18.595882
360,CNP0346667,O=C1C(OC2=CC(OCC(=O)C=3C=CC=CC3)=CC=C21)=CC=4C=CC=C(OC)C4OC,C25H20O6,416.4236420616321,[],"2-[(2,3-dimethoxyphenyl)methylidene]-6-(2-oxo-2-phenylethoxy)-2,3-dihydro-1-benzofuran-3-one",0.9293999999999996,71.06,18.563345
17,CNP0059369,O=C(OCC)C(=C(C=1C=CC=CC1)C=2C=CC=CC2)C(NS(=O)(=O)C3=CC=C(C=C3)C)C=4C=CC=CC4,C31H29NO4S,511.6335025717273,[],"ethyl 2-[(4-methylbenzenesulfonamido)(phenyl)methyl]-3,3-diphenylprop-2-enoate",4.372500000000003,80.85,18.539862
121,CNP0181163,O=C(O)C1=CC(O)=CC=C1NC(=O)C2C(C3=CC=C(O)C(OC)=C3)N(C(=O)C2C(O)C4=CC=C(O)C(OC)=C4)C5=CC=C(O)C=C5C(=O)O,C34H30N2O13,674.6089135780396,[],2-{3-[(2-carboxy-4-hydroxyphenyl)carbamoyl]-4-[hydroxy(4-hydroxy-3-methoxyphenyl)methyl]-2-(4-hydroxy-3-methoxyphenyl)-5-oxopyrrolidin-1-yl}-5-hydroxybenzoic acid,-2.0153000000000003,243.61999999999995,18.489641
467,CNP0115953,O=C(O)C12CCC(C)(CO)CC2C3=CCC4C(C)(CCC5C(C)(CO)C(OC6OCC(O)C(O)C6O)C(O)C(CC7C(NC(=O)C87CCCC8)C(C=9N=CNC9)CC(CNCCNCC)C(O)N)C45C)C3(C)CC1,C56H92N6O12,1041.3648379451492,[],"12-({3-[4-amino-3-({[2-(ethylamino)ethyl]amino}methyl)-4-hydroxy-1-(1H-imidazol-4-yl)butyl]-1-oxo-2-azaspiro[4.4]nonan-4-yl}methyl)-11-hydroxy-2,9-bis(hydroxymethyl)-2,6a,6b,9,12a-pentamethyl-10-[(3,4,5-trihydroxyoxan-2-yl)oxy]-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid",0.5445999999999998,300.93999999999994,18.45856
506,CNP0268511,OC1C(OCC(O)(C)C1NC)OC2C(O)C(OC3OC(=CCC3N)CN)C(N)CC2N,C19H37N5O7,447.5271404586921,"[10.1021/jo00924a001, NA, 589]",Sisomicin,-4.8714,213.72000000000008,18.416044
312,CNP0036234,O=C1OC=2C=CC(OS(=O)(=O)C3=CC=C(OC)C=C3)=CC2C(=C1)C=4OC=5C(OC)=CC=CC5C4,C25H18O8S,478.4726554021573,[],4-(7-methoxy-1-benzofuran-2-yl)-2-oxo-2H-chromen-6-yl 4-methoxybenzene-1-sulfonate,0.5033000000000001,105.74000000000002,18.413649
169,CNP0361093,O=C(O)C(NC1=NC(C)(C)CC=2C=CC=CC12)CCSC,C16H22N2O2S,306.42477219502405,[],"2-[(3,3-dimethyl-3,4-dihydroisoquinolin-1-yl)amino]-4-(methylsulfanyl)butanoic acid",1.8239999999999976,86.99,18.33649
459,CNP0252330,O=C1C=2C(O)=C3C(O)=CC(OC)=CC3=CC2CC(O)(C1)CC(O)C,C18H20O6,332.3484907841161,[],"3,8,9-trihydroxy-3-(2-hydroxypropyl)-6-methoxy-1,2,3,4-tetrahydroanthracen-1-one",-0.7300000000000016,107.22,18.332611
326,CNP0358565,O=C1C2=CC=C(O)C=C2OC3=CC=C(O)C(OC)=C13,C14H10O5,258.22673473113684,[],"2,6-dihydroxy-1-methoxy-9H-xanthen-9-one",-0.5206999999999999,75.99000000000001,18.301504
327,CNP0009407,O=C(O)C(C(O)C)C1C(CCN)C(CCCC=CCCCCCC)CCC1C2(C=3C=CC=CC3)CCCC2,C34H55NO3,525.8066799409545,[],2-[2-(2-aminoethyl)-6-(1-phenylcyclopentyl)-3-(undec-4-en-1-yl)cyclohexyl]-3-hydroxybutanoic acid,7.725800000000001,83.55,18.259071
494,CNP0261860,O=C(OC1C(=C)C(OC(=O)C=2C=CC=CC2)C3C(OC(=O)C)C(O)(C)C(O)C3(OC(=O)C)C(=O)C(C)C4OC4C(C(=O)C1O)(C)C)C=5C=CC=CC5,C38H42O14,722.7331447245984,"[Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter52]",Kansuinine B,1.4143999999999963,212.56,18.25573
458,CNP0310314,O=C(OC)C1NC2=C(O)C=C3C(=C2C1=O)CC(Cl)C(N3C(=O)C4=CC=5C=C(OC)C(OC)=C(OC)C5N4)C,C26H26ClN3O8,543.9538795358058,[],Pyrindamycin B,-1.532700000000002,135.66,18.25082
370,CNP0180379,OC1C=CC2C3N(C)CCC42C5=C(OC14C)C(OC)=CC=C5C3,C19H23NO3,313.3915373667093,[],"10-methoxy-4,13-dimethyl-12-oxa-4-azapentacyclo[9.6.1.0¹,¹³.0⁵,¹⁷.0⁷,¹⁸]octadeca-7,9,11(18),15-tetraen-14-ol",0.3722000000000002,41.93000000000001,18.234741
240,CNP0149829,OC=1C=C2C(=C(C1O)C)CCC3CC(C=C)(C)CCC23C,C19H26O2,286.4092514935813,[],"7-ethenyl-1,4b,7-trimethyl-4b,5,6,7,8,8a,9,10-octahydrophenanthrene-2,3-diol",3.9313,40.46,18.220572
532,CNP0452398,O=C(O)C1=C(OC=2C=CC(OCC=3C=CC=CC3F)=CC21)C=4C=CC=CC4,C22H15FO4,362.3513239670004,[],,1.9286,55.760000000000005,18.214144
500,CNP0248776,O=C1OC2C=C(C)CC(OC(=O)C)C=C(C)CC(OC(=O)C)C=C(C)CC(OC(=O)C)C2C1=C,C26H34O8,474.54435836712,[],"4,8-bis(acetyloxy)-6,10,14-trimethyl-3-methylidene-2-oxo-2H,3H,3aH,4H,5H,8H,9H,12H,13H,15aH-cyclotetradeca[b]furan-12-yl acetate",3.550899999999995,105.20000000000002,18.148317
508,CNP0311708,OCC12C(O)CC3(C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2CC(C)(C)C(O)C1O)C,C30H50O5,490.7161392327764,"[12444677, 7764822, Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter53]",Aescinidin,3.177299999999999,101.15,18.143246
510,CNP0474802,OC1=CC=C(C=C1OCC2([C+]3N=C4C(=C3)C(CNCC(O)C)C5CCCC5CC4)CCCCC2)CCC6=C[C-](CO)C([OH+]6)CCCC,[C40H59N2O5]+,647.9083713991603,[],,5.829799999999997,94.31,18.134205
445,CNP0144899,OC1=C(OC)C=C2C3=C1C4(CCC5(NCC=6C=7C=C(OC)C(OC)=CC7NC6C5)C(OC)C4)CC3N(C)CC2,C31H39N3O5,533.6596364585887,[],"2',7,8,10''-tetramethoxy-5''-methyl-1,2,4,5-tetrahydrodispiro[pyrido[4,3-b]indole-3,1'-cyclohexane-4',2''-[5]azatricyclo[6.3.1.0⁴,¹²]dodecane]-1''(11''),8''(12''),9''-trien-11''-ol",-0.3619000000000008,84.45,18.105743
385,CNP0059487,O=C(OC=1C=C2OC(=CC=3C=NC=CC3)C(=O)C2=C(C1)C)C=CC=4C=CC=CC4,C24H17NO4,383.3969772552639,[],"4-methyl-3-oxo-2-[(pyridin-3-yl)methylidene]-2,3-dihydro-1-benzofuran-6-yl 3-phenylprop-2-enoate",2.133,64.96000000000001,18.087782
228,CNP0284294,O=CCC1=CCCC(=CC2OC(=O)C(=C)C2C(OC(=O)C(=CC)C)C1O)CO,C21H26O7,390.4277479250042,[],"5-hydroxy-10-(hydroxymethyl)-3-methylidene-2-oxo-6-(2-oxoethyl)-2H,3H,3aH,4H,5H,8H,9H,11aH-cyclodeca[b]furan-4-yl 2-methylbut-2-enoate",1.994,110.13000000000002,18.060911
266,CNP0402734,O=C1C=C2CCC3C(CCC4(C)C3CCC4(O)C#CC=5C=CC=CC5)C2(C)CC1,C27H32O2,388.54278319084,[],"1-hydroxy-9a,11a-dimethyl-1-(2-phenylethynyl)-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-7-one",4.897000000000002,37.3,18.056156
401,CNP0151813,O=C1OCC2=C1C(O)=C(C(OC)=C2C)CC=C(C)CCC(=O)NCC3=CC=C(Cl)C=C3,C24H26ClNO5,443.9207865454495,[],"N-[(4-chlorophenyl)methyl]-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1,3-dihydro-2-benzofuran-5-yl)-4-methylhex-4-enamide",2.832899999999997,84.86000000000001,18.046728
262,CNP0138375,O=C(NCC1C=2C(=O)C(OC)=C(C(=O)C2CC3N1CC4N(C)C3C5=C(O)C(OC)=C(C(O)=C5C4O)C)C)C(=O)C,C28H33N3O9,555.5774039555475,"[NA, 10.7164/antibiotics.30.1015, Arai,J. Antibiotics,30,(1977),1015]",Saframycin E,-1.4330999999999992,165.93999999999997,18.019691
504,CNP0094091,O=CC(=C1CCC(O)(C)C2(CCC(C(=CC=CC(=C)CCC=C(C)C)C(O)CCC=3C=CC=CC3)C2O)C1CCCO)C,C38H54O5,590.8337894223835,[],"2-[1,10-dihydroxy-2-(3-hydroxy-12-methyl-8-methylidene-1-phenyltrideca-4,6,11-trien-4-yl)-6-(3-hydroxypropyl)-10-methylspiro[4.5]decan-7-ylidene]propanal",6.617999999999996,97.99,18.0157
193,CNP0157988,O=C(OCC1C=2C=CC=CC2C=3C=CC=CC31)NC(C(=O)O)COC(C=4C=CC=CC4)(C=5C=CC=CC5)C=6C=CC=CC6,C37H31NO5,569.6471193946383,[],2-({[(9H-fluoren-9-yl)methoxy]carbonyl}amino)-3-(triphenylmethoxy)propanoic acid,4.752700000000002,84.86,18.013962
367,CNP0229047,O=C(C=CC(CC1=CC(OC)=C(O)C(=C1)NC(=N)NC2CCCCC2)C(C)CCCC(C)C)CCC3=CC=C(O)C(OC)=C3,C36H53N3O5,607.8244864960895,[],N-cyclohexyl-N'-{2-hydroxy-5-[7-(4-hydroxy-3-methoxyphenyl)-2-(6-methylheptan-2-yl)-5-oxohept-3-en-1-yl]-3-methoxyphenyl}guanidine,5.669500000000001,123.9,17.999743
150,CNP0327317,O=C(OC)C12C=3NC4=C(C=CC(O)=C4C5C=6NC=7C=CC=CC7C6CC8N(C)CC(=CC)C(C5)C8(C(=O)OC)CO)C3CCN9CC(CC(CC)C91)C2,C43H52N4O6,720.8978051543852,"[Kam,J.Nat.Prod.,66,(2003),11]",Cononitarine B,2.5550000000000046,123.6,17.99412
393,CNP0023589,O=C1C2=CC=C(OCCN3CCOCC3)C=C2OC=C1C=4C=CC(Cl)=CC4,C21H20ClNO4,385.8415294045613,[],3-(4-chlorophenyl)-7-[2-(morpholin-4-yl)ethoxy]-4H-chromen-4-one,0.9985999999999994,48.0,17.965572
419,CNP0136270,O=C(C=CC(C)C1CCC2C3C(=O)C=C4CC(O)CCC4(C)C3CCC12C)C(C)C,C27H40O3,412.6057141490157,[],"7-hydroxy-9a,11a-dimethyl-1-(6-methyl-5-oxohept-3-en-2-yl)-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthren-4-one",5.070099999999996,54.370000000000005,17.95833
259,CNP0309594,O=C(CCCCCCCCCCC=1C=CC=CC1)C2C(=O)CCC(O)C2=O,C23H32O4,372.4986494588268,[],"4-hydroxy-2-(11-phenylundecanoyl)cyclohexane-1,3-dione",4.257599999999998,71.44,17.925787
59,CNP0305435,O=C1CC(O)CC23OC3CC4C5CCC(C(C)C6CC6C(C)C(C)C)C5(C)CC(O)C4C12C,C29H46O4,458.6742353931157,[],"5,18-dihydroxy-2,16-dimethyl-15-{1-[2-(3-methylbutan-2-yl)cyclopropyl]ethyl}-8-oxapentacyclo[9.7.0.0²,⁷.0⁷,⁹.0¹²,¹⁶]octadecan-3-one",3.972499999999999,70.06,17.921566
23,CNP0112727,O=C(NN=CC1=CC=C(OC)C=C1)CN2CCN3C=4C=CC(=CC4C5=C3C2CCC5)C6CCCCC6,C30H36N4O2,484.633566724651,[],"2-{12-cyclohexyl-1,4-diazatetracyclo[7.6.1.0⁵,¹⁶.0¹⁰,¹⁵]hexadeca-9(16),10,12,14-tetraen-4-yl}-N'-[(4-methoxyphenyl)methylidene]acetohydrazide",3.9187999999999934,57.17,17.913345
472,CNP0053110,O=C1C(OC=2C=CC=CC2OC)=COC=3C1=CC=C4OCN(CC43)C5CCS(=O)(=O)C5,C22H21NO7S,443.47156825273726,[],"3-[3-(2-methoxyphenoxy)-4-oxo-4H,8H,9H,10H-chromeno[8,7-e][1,3]oxazin-9-yl]-1λ⁶-thiolane-1,1-dione",-1.009200000000002,99.75,17.891645
237,CNP0161990,OC1OC2CN(C)C3CC(OC)C=CC23C4=CC=5OCOC5C=C41,C18H21NO5,331.3637298174085,"[Pham,Pharmazie,52,(1997),160, Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter17, Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998), Hohmann,Planta Med.,68,(2002),454, Wildman,J.Am.Chem.Soc.,89,(1967),5514, Ji, et al., Pharmacological Action and Application of Available Antitumor Composition of Traditional Chinese Medicine, Heilongjiang Science and technology Press, Heilongjiang, (1998)., Trimino,Rev.Cubana Quim.,8,(1996),53, Seaforth,Fitoterapia,69,(1998),79]",Pretazettine,-0.5818000000000009,60.390000000000015,17.867748
37,CNP0360296,O=C1C=C2C(=C3C=CC4(C)C(CCC4(O)CC=C)C3CC2)CC1,C21H26O2,310.43072328715726,[],"1-hydroxy-11a-methyl-1-(prop-2-en-1-yl)-1H,2H,3H,3aH,3bH,4H,5H,7H,8H,9H,11aH-cyclopenta[a]phenanthren-7-one",3.421300000000001,37.3,17.855724
465,CNP0208597,O=C(OC1CC2(C3=CCC(C)(CC3C(O)CC2C4(O)CCC14)C(Br)CO)C)C,C22H33BrO5,457.398787214284,"[NA, 10.1021/ja00387a045]",Deoxyparguerol,2.017099999999998,86.99000000000001,17.80208
357,CNP0447724,O=C1C=C2C(CCC3(C)C(CCC23O)C(O)(C)C(O)C4OC5CCC(CCCC)CC5C4C)C6(CCC=7C=CC(N)NC7)CC(O)C(O)CC16,C41H64N2O7,696.957620920216,[],,3.367399999999996,165.5,17.786787
334,CNP0106323,OC1=CC=C(C=C1O)CCCCC(OC2OC(CO)C(O)C(O)C2O)CCC3=CC=C(O)C(O)=C3,C25H34O10,494.5324323254708,[n/a],Rubranoside A,0.3728000000000025,180.3,17.779854
15,CNP0185479,O=C1OC(=CC(O)=C1C(C=2C=CC=CC2OCCC3=CC=C(OC)C=C3)CC(=O)OC)C,C25H26O7,438.4706915121562,[],methyl 3-(4-hydroxy-6-methyl-2-oxo-2H-pyran-3-yl)-3-{2-[2-(4-methoxyphenyl)ethoxy]phenyl}propanoate,1.8394000000000008,91.29,17.768646
473,CNP0308580,O=C1OC(CC(=C1C)C)C2(OC(=O)C34CCC5C(CC6OC76CC=CC(=O)C57C)C4(O)CCC23)C,C28H34O7,482.56642523312655,[],"6-(4,5-dimethyl-6-oxo-3,6-dihydro-2H-pyran-2-yl)-2-hydroxy-6,13-dimethyl-7,19-dioxahexacyclo[10.9.0.0²,⁹.0⁵,⁹.0¹³,¹⁸.0¹⁸,²⁰]henicos-15-ene-8,14-dione",2.8707999999999974,102.43,17.7433
586,CNP0423015,O=C(OC1C(O)C2C(=C)C(O)CCC2(C)C3C(O)CC4C5(C)CCC(C(=C)C)C5CCC4(C)C13C)C=6C=CC=CC6,C36H50O5,562.7805546135044,[],"7,9,12-trihydroxy-5a,5b,11a,13b-tetramethyl-8-methylidene-3-(prop-1-en-2-yl)-icosahydro-1H-cyclopenta[a]chrysen-6-yl benzoate",5.407199999999998,86.99000000000001,17.697016
162,CNP0340087,O=C1OC2C(OC3CC4OC5(OC6C(OC7(OC8CC(=O)OC8C(C)C7)CC6C)C5)CC4OC3C2C)CC9OC(CCC%10OC(CC%10=C)CCC%11%12OC%13C(OC%14C%13OC%15CCC(OC%15C%14O%11)C1)C%12)CC(C9=C)C,C56H76O17,1021.1945912795672,[],"7,7',14'',29''-tetramethyl-8'',15''-dimethylidene-decahydro-3'H-dispiro[bis(furo[3,2-b]pyran)-5,5':2',24''-[2,19,23,27,31,38,42,45,47,48,49]undecaoxundecacyclo[32.9.2.1³,⁴⁰.1³,⁴¹.1⁶,⁹.1¹²,¹⁶.0¹⁸,³⁰.0²⁰,²⁸.0²²,²⁶.0³⁷,⁴⁴.0³⁹,⁴³]nonatetracontane]-2,32''-dione",3.686400000000003,172.58999999999995,17.687847
452,CNP0356508,O=C1OC(=NC1=CC2=CNC=3C=CC=CC23)CCC=4C=CC=CC4,C20H16N2O2,316.35398626618337,[],"4-[(1H-indol-3-yl)methylidene]-2-(2-phenylethyl)-4,5-dihydro-1,3-oxazol-5-one",1.755199999999999,50.69,17.684147
110,CNP0344746,N#CCCOP(OCC1OC(N2C=NC=3C(=NC=NC32)NC(=O)CCCN(C(=O)OCC4C=5C=CC=CC5C=6C=CC=CC64)C)CC1OP(OCCC#C)N(C(C)C)C(C)C)OC7CC(OC7COC(C=8C=CC=CC8)(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)N%11C=NC=%12C(=NC=NC%12%11)NC(O)C%13=CC=C(C=C%13)CNC(=O)CCC(C)C,C88H102N14O15P2,1657.7871578796191,[],(9H-fluoren-9-yl)methyl N-{3-[(9-{5-[({[(2-{[bis(4-methoxyphenyl)(phenyl)methoxy]methyl}-5-(6-{[hydroxy({4-[(4-methylpentanamido)methyl]phenyl})methyl]amino}-9H-purin-9-yl)oxolan-3-yl)oxy](2-cyanoethoxy)phosphanyl}oxy)methyl]-4-({[bis(propan-2-yl)amino](but-3-yn-1-yloxy)phosphanyl}oxy)oxolan-2-yl}-9H-purin-6-yl)carbamoyl]propyl}-N-methylcarbamate,5.315700000000003,347.1499999999999,17.682358
489,CNP0383338,O=C(NCCC=1C=CC=CC1F)C=2N=C(C=3C=CC=C(Cl)C3)C=4NC=5C=CC=CC5C4C2,C26H19ClFN3O,443.9008629860393,[],"1-(3-chlorophenyl)-N-[2-(2-fluorophenyl)ethyl]-9H-pyrido[3,4-b]indole-3-carboxamide",2.3698999999999995,53.49,17.677103
403,CNP0378078,OC1C2=CCC3C(CCC4(C)C(CCC34)C(C=CC(C)CC)C)C2(C)CC1,C26H42O,370.6120499047405,[],"2,14-dimethyl-13-(5-methylhept-3-en-2-yl)tetracyclo[7.7.0.0²,⁶.0¹⁰,¹⁴]hexadec-6-en-5-ol",6.610299999999999,20.23,17.67044
